v4_0,mmm-yy,Time,uk-only,Geography,cpih1dim1aggid,Aggregate
118.4,Jan-26,Jan-26,K02000001,United Kingdom,CP055,05.5 Tools and equipment for house and garden
132.5,Jan-26,Jan-26,K02000001,United Kingdom,CP061,"06.1 Medical products, appliances and equipment"
131,Jan-26,Jan-26,K02000001,United Kingdom,CP092,09.2 Other major durables for recreation and culture
124.5,Jan-26,Jan-26,K02000001,United Kingdom,CP093,"09.3 Other recreational items, gardens and pets"
160,Jan-26,Jan-26,K02000001,United Kingdom,CP096,09.6 Package holidays
149.2,Jan-26,Jan-26,K02000001,United Kingdom,CP112,11.2 Accommodation services
101.9,Jan-26,Jan-26,K02000001,United Kingdom,CP1232,12.3.2 Other personal effects
146.1,Jan-26,Jan-26,K02000001,United Kingdom,CP0114,"01.1.4 Milk, cheese and eggs"
106.8,Jan-26,Jan-26,K02000001,United Kingdom,CP054,"05.4 Glassware, tableware and household utensils"
149.9,Jan-26,Jan-26,K02000001,United Kingdom,CP0122,"01.2.2 Mineral waters, soft drinks and juices"
201.3,Jan-26,Jan-26,K02000001,United Kingdom,CP0451,04.5.1 Electricity
141.2,Jan-26,Jan-26,K02000001,United Kingdom,CP0562,05.6.2 Domestic services and household services
154.8,Jan-26,Jan-26,K02000001,United Kingdom,CP0622,06.2.2 Dental services
122,Jan-26,Jan-26,K02000001,United Kingdom,CP0722,07.2.2 Fuels and lubricants
197.5,Jan-26,Jan-26,K02000001,United Kingdom,CP022,02.2 Tobacco
134.6,Jan-26,Jan-26,K02000001,United Kingdom,CP0511,05.1.1 Furniture and furnishings
111.6,Jan-26,Jan-26,K02000001,United Kingdom,CP052,05.2 Household textiles
123.8,Jan-26,Jan-26,K02000001,United Kingdom,CP0533,05.3.3 Repair of household appliances
131.1,Jan-26,Jan-26,K02000001,United Kingdom,CP0621_0623,06.2.1/3 Medical services and paramedical services
77.1,Jan-26,Jan-26,K02000001,United Kingdom,CP0911,09.1.1 Reception and reproduction of sound and pictures
139.8,Jan-26,Jan-26,K02000001,United Kingdom,CP0611,06.1.1 Pharmaceutical products
150.2,Jan-26,Jan-26,K02000001,United Kingdom,CP073,07.3 Transport services
128.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0933,"09.3.3 Gardens, plants and flowers"
136.7,Jan-26,Jan-26,K02000001,United Kingdom,CP07,07 Transport
152.7,Jan-26,Jan-26,K02000001,United Kingdom,CP10,10 Education
148.3,Jan-26,Jan-26,K02000001,United Kingdom,CP0941,09.4.1 Recreational and sporting services
143.2,Jan-26,Jan-26,K02000001,United Kingdom,CP0721,07.2.1 Spare parts and accessories
142.1,Jan-26,Jan-26,K02000001,United Kingdom,CP08,08 Communication
140.5,Jan-26,Jan-26,K02000001,United Kingdom,CP082_083,08.2/3 Telephone and telefax equipment
151.3,Jan-26,Jan-26,K02000001,United Kingdom,CP111,11.1 Catering services
131.3,Jan-26,Jan-26,K02000001,United Kingdom,CP1231,"12.3.1 Jewellery, clocks and watches"
135.6,Jan-26,Jan-26,K02000001,United Kingdom,CP0953_0954,"09.5.3/4 Miscellaneous printed matter, stationery and drawing materials"
150.7,Jan-26,Jan-26,K02000001,United Kingdom,CP11,11 Restaurants and hotels
177.5,Jan-26,Jan-26,K02000001,United Kingdom,CP125,12.5 Insurance
121.3,Jan-26,Jan-26,K02000001,United Kingdom,CP0211,02.1.1 Spirits
136,Jan-26,Jan-26,K02000001,United Kingdom,CP0112,01.1.2 Meat
134.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0113,01.1.3 Fish
189.2,Jan-26,Jan-26,K02000001,United Kingdom,CP0115,01.1.5 Oils and fats
121.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0212,02.1.2 Wine
101.3,Jan-26,Jan-26,K02000001,United Kingdom,CP032,03.2 Footwear including repairs
142.8,Jan-26,Jan-26,K02000001,United Kingdom,CP04,"04 Housing, water, electricity, gas and other fuels"
137,Jan-26,Jan-26,K02000001,United Kingdom,CP042,04.2 Owner Occupiers Housing Costs
110.6,Jan-26,Jan-26,K02000001,United Kingdom,CP0432,04.3.2 Services for maintenance and repair of the dwelling
165.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0441,04.4.1 Water supply
140.4,Jan-26,Jan-26,K02000001,United Kingdom,CP0116,01.1.6 Fruit
151.8,Jan-26,Jan-26,K02000001,United Kingdom,CP0454,04.5.4 Solid fuels
142.3,Jan-26,Jan-26,K02000001,United Kingdom,CP06,06 Health
140.7,Jan-26,Jan-26,K02000001,United Kingdom,CP062,06.2 Out-patient services
121.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0712_0713,07.1.2/3 Motocycles and bicycles
135.5,Jan-26,Jan-26,K02000001,United Kingdom,CP09,09 Recreation and culture
150.4,Jan-26,Jan-26,K02000001,United Kingdom,CP124,12.4 Social protection
175.4,Jan-26,Jan-26,K02000001,United Kingdom,CP1253,12.5.3 Health insurance
90.7,Jan-26,Jan-26,K02000001,United Kingdom,CP126,12.6 Financial services (nec)
176.5,Jan-26,Jan-26,K02000001,United Kingdom,CP045,"04.5 Electricity, gas and other fuels"
119.2,Jan-26,Jan-26,K02000001,United Kingdom,CP053,"05.3 Household appliances, fitting and repairs"
164.4,Jan-26,Jan-26,K02000001,United Kingdom,CP044,04.4 Water supply and miscellaneous services relating to the dwelling
168.4,Jan-26,Jan-26,K02000001,United Kingdom,CP0732_0736,07.3.2/6 Passenger transport by road and other services
95.8,Jan-26,Jan-26,K02000001,United Kingdom,CP091,09.1 Audio-visual equipment and related products
79.6,Jan-26,Jan-26,K02000001,United Kingdom,CP0912,"09.1.2 Photographic, cinematographic and optical equipment"
146.8,Jan-26,Jan-26,K02000001,United Kingdom,CP0951,09.5.1 Books
124.3,Jan-26,Jan-26,K02000001,United Kingdom,CP12,12 Miscellaneous goods and services
141,Jan-26,Jan-26,K02000001,United Kingdom,CP0111,01.1.1 Bread and cereals
121.2,Jan-26,Jan-26,K02000001,United Kingdom,CP0312,03.1.2 Garments
134.7,Jan-26,Jan-26,K02000001,United Kingdom,CP041,04.1 Actual rentals for housing
121.7,Jan-26,Jan-26,K02000001,United Kingdom,CP043,04.3 Regular maintenance and repair of the dwelling
152.7,Jan-26,Jan-26,K02000001,United Kingdom,CP049,04.9 Council Tax and rates
167.2,Jan-26,Jan-26,K02000001,United Kingdom,CP063,06.3 Hospital services
140.9,Jan-26,Jan-26,K02000001,United Kingdom,CP0711N1,07.1.1.1 New motor cars
141.1,Jan-26,Jan-26,K02000001,United Kingdom,CP072,07.2 Operation of personal transport equipment
174.9,Jan-26,Jan-26,K02000001,United Kingdom,CP0724,07.2.4 Other services
175.2,Jan-26,Jan-26,K02000001,United Kingdom,CP081,08.1 Postal services
145.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0942,09.4.2 Cultural services
158.2,Jan-26,Jan-26,K02000001,United Kingdom,CP095,"09.5 Books, newspapers and stationery"
146.9,Jan-26,Jan-26,K02000001,United Kingdom,CP1211,12.1.1 Hairdressing and personal grooming establishments
154.3,Jan-26,Jan-26,K02000001,United Kingdom,CP0119,01.1.9 Food products (nec)
159.7,Jan-26,Jan-26,K02000001,United Kingdom,CP02,02 Alcoholic beverages and tobacco
125,Jan-26,Jan-26,K02000001,United Kingdom,CP021,02.1 Alcoholic beverages
118,Jan-26,Jan-26,K02000001,United Kingdom,CP03,03 Clothing and footwear
132.4,Jan-26,Jan-26,K02000001,United Kingdom,CP0431,04.3.1 Materials for maintenance and repair of the dwelling
143.4,Jan-26,Jan-26,K02000001,United Kingdom,CP0452,04.5.2 Gas
120.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0612_0613,06.1.2/3 Other medical and therapeutic equipment
106.9,Jan-26,Jan-26,K02000001,United Kingdom,CP0931,"09.3.1 Games, toys and hobbies"
146.1,Jan-26,Jan-26,K02000001,United Kingdom,CP094,09.4 Recreational and cultural services
215,Jan-26,Jan-26,K02000001,United Kingdom,CP0952,09.5.2 Newspapers and periodicals
125.4,Jan-26,Jan-26,K02000001,United Kingdom,CP121,12.1 Personal care
144.3,Jan-26,Jan-26,K02000001,United Kingdom,CP01,01 Food and non-alcoholic beverages
139.4,Jan-26,Jan-26,K02000001,United Kingdom,CP00,Overall Index
143.7,Jan-26,Jan-26,K02000001,United Kingdom,CP011,01.1 Food
139.3,Jan-26,Jan-26,K02000001,United Kingdom,CP0117,01.1.7 Vegetables including potatoes and tubers
156.9,Jan-26,Jan-26,K02000001,United Kingdom,CP0118,"01.1.8 Sugar, jam, syrups, chocolate and confectionery"
121.4,Jan-26,Jan-26,K02000001,United Kingdom,CP031,03.1 Clothing
154.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0453,04.5.3 Liquid fuels
128.3,Jan-26,Jan-26,K02000001,United Kingdom,CP0733,07.3.3 Passenger transport by air
107.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0915,09.1.5 Repair of audio-visual equipment and related products
148.7,Jan-26,Jan-26,K02000001,United Kingdom,CP012,01.2 Non-alcoholic beverages
164,Jan-26,Jan-26,K02000001,United Kingdom,CP0443,04.4.3 Sewerage collection
137.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0512,05.1.2 Carpets and other floor coverings
119.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0531_0532,05.3.1/2 Major appliances and small electric goods
146.7,Jan-26,Jan-26,K02000001,United Kingdom,CP0121,"01.2.1 Coffee, tea and cocoa"
148.2,Jan-26,Jan-26,K02000001,United Kingdom,CP0934_0935,"09.3.4/5 Pets, related products and services"
135.9,Jan-26,Jan-26,K02000001,United Kingdom,CP0213,02.1.3 Beer
115.6,Jan-26,Jan-26,K02000001,United Kingdom,CP1112,11.1.2 Canteens
152.7,Jan-26,Jan-26,K02000001,United Kingdom,CP1111,11.1.1 Restaurants and cafes
118.9,Jan-26,Jan-26,K02000001,United Kingdom,CP1212_1213,12.1.2/3 Appliances and products for personal care
116.3,Jan-26,Jan-26,K02000001,United Kingdom,CP0313,03.1.3 Other clothing and clothing accessories
122.1,Jan-26,Jan-26,K02000001,United Kingdom,CP123,12.3 Personal effects (nec)
110.4,Jan-26,Jan-26,K02000001,United Kingdom,CP127,12.7 Other services (nec)
159,Jan-26,Jan-26,K02000001,United Kingdom,CP0314,"03.1.4 Cleaning, repair and hire of clothing"
124.5,Jan-26,Jan-26,K02000001,United Kingdom,CP05,"05 Furniture, household equipment and maintenance"
124,Jan-26,Jan-26,K02000001,United Kingdom,CP071,07.1 Purchase of vehicles
118.2,Jan-26,Jan-26,K02000001,United Kingdom,CP0932,09.3.2 Equipment for sport and open-air recreation
116.2,Jan-26,Jan-26,K02000001,United Kingdom,CP1252,12.5.2 House contents insurance
184.1,Jan-26,Jan-26,K02000001,United Kingdom,CP1254,12.5.4 Transport insurance
134.9,Jan-26,Jan-26,K02000001,United Kingdom,CP051,"05.1 Furniture, furnishings and carpets"
132.1,Jan-26,Jan-26,K02000001,United Kingdom,CP056,05.6 Goods and services for routine maintenance
115.2,Jan-26,Jan-26,K02000001,United Kingdom,CP0561,05.6.1 Non-durable household goods
111.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0711N2,07.1.1.2 Second-hand motor cars
155.2,Jan-26,Jan-26,K02000001,United Kingdom,CP0723,07.2.3 Maintenance and repairs
141.2,Jan-26,Jan-26,K02000001,United Kingdom,CP0731,07.3.1 Passenger transport by railway
154.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0734,07.3.4 Passenger transport by sea and inland waterway
71.8,Jan-26,Jan-26,K02000001,United Kingdom,CP0913,09.1.3 Data processing equipment
158.5,Jan-26,Jan-26,K02000001,United Kingdom,CP0914,09.1.4 Recording media
148.5,Dec-25,Dec-25,K02000001,United Kingdom,CP0951,09.5.1 Books
139.5,Dec-25,Dec-25,K02000001,United Kingdom,CP0117,01.1.7 Vegetables including potatoes and tubers
112,Dec-25,Dec-25,K02000001,United Kingdom,CP0711N2,07.1.1.2 Second-hand motor cars
159.1,Dec-25,Dec-25,K02000001,United Kingdom,CP0914,09.1.4 Recording media
146.8,Dec-25,Dec-25,K02000001,United Kingdom,CP0734,07.3.4 Passenger transport by sea and inland waterway
134.3,Dec-25,Dec-25,K02000001,United Kingdom,CP041,04.1 Actual rentals for housing
159.9,Dec-25,Dec-25,K02000001,United Kingdom,CP096,09.6 Package holidays
133.9,Dec-25,Dec-25,K02000001,United Kingdom,CP1231,"12.3.1 Jewellery, clocks and watches"
148.5,Dec-25,Dec-25,K02000001,United Kingdom,CP0452,04.5.2 Gas
152.3,Dec-25,Dec-25,K02000001,United Kingdom,CP0118,"01.1.8 Sugar, jam, syrups, chocolate and confectionery"
132.1,Dec-25,Dec-25,K02000001,United Kingdom,CP056,05.6 Goods and services for routine maintenance
139.8,Dec-25,Dec-25,K02000001,United Kingdom,CP06,06 Health
131.3,Dec-25,Dec-25,K02000001,United Kingdom,CP061,"06.1 Medical products, appliances and equipment"
129,Dec-25,Dec-25,K02000001,United Kingdom,CP0933,"09.3.3 Gardens, plants and flowers"
141.6,Dec-25,Dec-25,K02000001,United Kingdom,CP08,08 Communication
146.2,Dec-25,Dec-25,K02000001,United Kingdom,CP1211,12.1.1 Hairdressing and personal grooming establishments
171.6,Dec-25,Dec-25,K02000001,United Kingdom,CP125,12.5 Insurance
146.4,Dec-25,Dec-25,K02000001,United Kingdom,CP0121,"01.2.1 Coffee, tea and cocoa"
149.2,Dec-25,Dec-25,K02000001,United Kingdom,CP0122,"01.2.2 Mineral waters, soft drinks and juices"
124.6,Dec-25,Dec-25,K02000001,United Kingdom,CP121,12.1 Personal care
122.9,Dec-25,Dec-25,K02000001,United Kingdom,CP021,02.1 Alcoholic beverages
107.4,Dec-25,Dec-25,K02000001,United Kingdom,CP0915,09.1.5 Repair of audio-visual equipment and related products
132.6,Dec-25,Dec-25,K02000001,United Kingdom,CP0213,02.1.3 Beer
164.4,Dec-25,Dec-25,K02000001,United Kingdom,CP044,04.4 Water supply and miscellaneous services relating to the dwelling
123.8,Dec-25,Dec-25,K02000001,United Kingdom,CP0531_0532,05.3.1/2 Major appliances and small electric goods
158.1,Dec-25,Dec-25,K02000001,United Kingdom,CP0314,"03.1.4 Cleaning, repair and hire of clothing"
124.8,Dec-25,Dec-25,K02000001,United Kingdom,CP0722,07.2.2 Fuels and lubricants
142,Dec-25,Dec-25,K02000001,United Kingdom,CP072,07.2 Operation of personal transport equipment
153.3,Dec-25,Dec-25,K02000001,United Kingdom,CP112,11.2 Accommodation services
124.2,Dec-25,Dec-25,K02000001,United Kingdom,CP071,07.1 Purchase of vehicles
157.7,Dec-25,Dec-25,K02000001,United Kingdom,CP02,02 Alcoholic beverages and tobacco
139.3,Dec-25,Dec-25,K02000001,United Kingdom,CP0512,05.1.2 Carpets and other floor coverings
151.7,Dec-25,Dec-25,K02000001,United Kingdom,CP111,11.1 Catering services
147.3,Dec-25,Dec-25,K02000001,United Kingdom,CP0114,"01.1.4 Milk, cheese and eggs"
170.1,Dec-25,Dec-25,K02000001,United Kingdom,CP0732_0736,07.3.2/6 Passenger transport by road and other services
174.6,Dec-25,Dec-25,K02000001,United Kingdom,CP045,"04.5 Electricity, gas and other fuels"
126.4,Dec-25,Dec-25,K02000001,United Kingdom,CP0312,03.1.2 Garments
136,Dec-25,Dec-25,K02000001,United Kingdom,CP0112,01.1.2 Meat
102.4,Dec-25,Dec-25,K02000001,United Kingdom,CP032,03.2 Footwear including repairs
131.4,Dec-25,Dec-25,K02000001,United Kingdom,CP0431,04.3.1 Materials for maintenance and repair of the dwelling
139.9,Dec-25,Dec-25,K02000001,United Kingdom,CP082_083,08.2/3 Telephone and telefax equipment
110.6,Dec-25,Dec-25,K02000001,United Kingdom,CP0432,04.3.2 Services for maintenance and repair of the dwelling
107,Dec-25,Dec-25,K02000001,United Kingdom,CP0931,"09.3.1 Games, toys and hobbies"
139.5,Dec-25,Dec-25,K02000001,United Kingdom,CP0116,01.1.6 Fruit
139.9,Dec-25,Dec-25,K02000001,United Kingdom,CP00,Overall Index
152.7,Dec-25,Dec-25,K02000001,United Kingdom,CP049,04.9 Council Tax and rates
149.7,Dec-25,Dec-25,K02000001,United Kingdom,CP0941,09.4.1 Recreational and sporting services
175.7,Dec-25,Dec-25,K02000001,United Kingdom,CP081,08.1 Postal services
95.3,Dec-25,Dec-25,K02000001,United Kingdom,CP091,09.1 Audio-visual equipment and related products
196.1,Dec-25,Dec-25,K02000001,United Kingdom,CP022,02.2 Tobacco
153,Dec-25,Dec-25,K02000001,United Kingdom,CP1111,11.1.1 Restaurants and cafes
118.1,Dec-25,Dec-25,K02000001,United Kingdom,CP1212_1213,12.1.2/3 Appliances and products for personal care
104.3,Dec-25,Dec-25,K02000001,United Kingdom,CP1232,12.3.2 Other personal effects
109.4,Dec-25,Dec-25,K02000001,United Kingdom,CP054,"05.4 Glassware, tableware and household utensils"
116.2,Dec-25,Dec-25,K02000001,United Kingdom,CP1252,12.5.2 House contents insurance
165.5,Dec-25,Dec-25,K02000001,United Kingdom,CP0441,04.4.1 Water supply
143.9,Dec-25,Dec-25,K02000001,United Kingdom,CP011,01.1 Food
157.1,Dec-25,Dec-25,K02000001,United Kingdom,CP0119,01.1.9 Food products (nec)
127.3,Dec-25,Dec-25,K02000001,United Kingdom,CP05,"05 Furniture, household equipment and maintenance"
115.4,Dec-25,Dec-25,K02000001,United Kingdom,CP0561,05.6.1 Non-durable household goods
160.6,Dec-25,Dec-25,K02000001,United Kingdom,CP063,06.3 Hospital services
144.4,Dec-25,Dec-25,K02000001,United Kingdom,CP01,01 Food and non-alcoholic beverages
123.2,Dec-25,Dec-25,K02000001,United Kingdom,CP053,"05.3 Household appliances, fitting and repairs"
126,Dec-25,Dec-25,K02000001,United Kingdom,CP031,03.1 Clothing
72.3,Dec-25,Dec-25,K02000001,United Kingdom,CP0913,09.1.3 Data processing equipment
124.7,Dec-25,Dec-25,K02000001,United Kingdom,CP123,12.3 Personal effects (nec)
144.9,Dec-25,Dec-25,K02000001,United Kingdom,CP094,09.4 Recreational and cultural services
143.9,Dec-25,Dec-25,K02000001,United Kingdom,CP0111,01.1.1 Bread and cereals
115.3,Dec-25,Dec-25,K02000001,United Kingdom,CP052,05.2 Household textiles
139.7,Dec-25,Dec-25,K02000001,United Kingdom,CP0511,05.1.1 Furniture and furnishings
148.1,Dec-25,Dec-25,K02000001,United Kingdom,CP0934_0935,"09.3.4/5 Pets, related products and services"
110.4,Dec-25,Dec-25,K02000001,United Kingdom,CP127,12.7 Other services (nec)
139.2,Dec-25,Dec-25,K02000001,United Kingdom,CP07,07 Transport
141,Dec-25,Dec-25,K02000001,United Kingdom,CP0562,05.6.2 Domestic services and household services
118.5,Dec-25,Dec-25,K02000001,United Kingdom,CP0932,09.3.2 Equipment for sport and open-air recreation
118.4,Dec-25,Dec-25,K02000001,United Kingdom,CP0211,02.1.1 Spirits
135.2,Dec-25,Dec-25,K02000001,United Kingdom,CP09,09 Recreation and culture
140.6,Dec-25,Dec-25,K02000001,United Kingdom,CP0711N1,07.1.1.1 New motor cars
141.1,Dec-25,Dec-25,K02000001,United Kingdom,CP0721,07.2.1 Spare parts and accessories
174.6,Dec-25,Dec-25,K02000001,United Kingdom,CP0733,07.3.3 Passenger transport by air
213.8,Dec-25,Dec-25,K02000001,United Kingdom,CP0952,09.5.2 Newspapers and periodicals
123.6,Dec-25,Dec-25,K02000001,United Kingdom,CP0533,05.3.3 Repair of household appliances
158.4,Dec-25,Dec-25,K02000001,United Kingdom,CP0453,04.5.3 Liquid fuels
151.8,Dec-25,Dec-25,K02000001,United Kingdom,CP11,11 Restaurants and hotels
167.2,Dec-25,Dec-25,K02000001,United Kingdom,CP1253,12.5.3 Health insurance
140.3,Dec-25,Dec-25,K02000001,United Kingdom,CP062,06.2 Out-patient services
131.1,Dec-25,Dec-25,K02000001,United Kingdom,CP0621_0623,06.2.1/3 Medical services and paramedical services
148.1,Dec-25,Dec-25,K02000001,United Kingdom,CP012,01.2 Non-alcoholic beverages
122,Dec-25,Dec-25,K02000001,United Kingdom,CP03,03 Clothing and footwear
136.8,Dec-25,Dec-25,K02000001,United Kingdom,CP0953_0954,"09.5.3/4 Miscellaneous printed matter, stationery and drawing materials"
116.1,Dec-25,Dec-25,K02000001,United Kingdom,CP1112,11.1.2 Canteens
120.2,Dec-25,Dec-25,K02000001,United Kingdom,CP0212,02.1.2 Wine
137.9,Dec-25,Dec-25,K02000001,United Kingdom,CP0611,06.1.1 Pharmaceutical products
142.8,Dec-25,Dec-25,K02000001,United Kingdom,CP0731,07.3.1 Passenger transport by railway
154.5,Dec-25,Dec-25,K02000001,United Kingdom,CP0723,07.2.3 Maintenance and repairs
180.2,Dec-25,Dec-25,K02000001,United Kingdom,CP1254,12.5.4 Transport insurance
73.7,Dec-25,Dec-25,K02000001,United Kingdom,CP0912,"09.1.2 Photographic, cinematographic and optical equipment"
75.5,Dec-25,Dec-25,K02000001,United Kingdom,CP0911,09.1.1 Reception and reproduction of sound and pictures
124.1,Dec-25,Dec-25,K02000001,United Kingdom,CP12,12 Miscellaneous goods and services
190,Dec-25,Dec-25,K02000001,United Kingdom,CP0115,01.1.5 Oils and fats
121.3,Dec-25,Dec-25,K02000001,United Kingdom,CP043,04.3 Regular maintenance and repair of the dwelling
152.7,Dec-25,Dec-25,K02000001,United Kingdom,CP10,10 Education
161,Dec-25,Dec-25,K02000001,United Kingdom,CP073,07.3 Transport services
117.1,Dec-25,Dec-25,K02000001,United Kingdom,CP0313,03.1.3 Other clothing and clothing accessories
154,Dec-25,Dec-25,K02000001,United Kingdom,CP0622,06.2.2 Dental services
136.8,Dec-25,Dec-25,K02000001,United Kingdom,CP042,04.2 Owner Occupiers Housing Costs
194.2,Dec-25,Dec-25,K02000001,United Kingdom,CP0451,04.5.1 Electricity
119.7,Dec-25,Dec-25,K02000001,United Kingdom,CP0712_0713,07.1.2/3 Motocycles and bicycles
143,Dec-25,Dec-25,K02000001,United Kingdom,CP0942,09.4.2 Cultural services
133.8,Dec-25,Dec-25,K02000001,United Kingdom,CP0113,01.1.3 Fish
164,Dec-25,Dec-25,K02000001,United Kingdom,CP0443,04.4.3 Sewerage collection
153.5,Dec-25,Dec-25,K02000001,United Kingdom,CP0454,04.5.4 Solid fuels
91.3,Dec-25,Dec-25,K02000001,United Kingdom,CP126,12.6 Financial services (nec)
131.5,Dec-25,Dec-25,K02000001,United Kingdom,CP092,09.2 Other major durables for recreation and culture
117.9,Dec-25,Dec-25,K02000001,United Kingdom,CP055,05.5 Tools and equipment for house and garden
149.5,Dec-25,Dec-25,K02000001,United Kingdom,CP124,12.4 Social protection
159.1,Dec-25,Dec-25,K02000001,United Kingdom,CP095,"09.5 Books, newspapers and stationery"
139.4,Dec-25,Dec-25,K02000001,United Kingdom,CP051,"05.1 Furniture, furnishings and carpets"
142.5,Dec-25,Dec-25,K02000001,United Kingdom,CP04,"04 Housing, water, electricity, gas and other fuels"
124.6,Dec-25,Dec-25,K02000001,United Kingdom,CP093,"09.3 Other recreational items, gardens and pets"
120.4,Dec-25,Dec-25,K02000001,United Kingdom,CP0612_0613,06.1.2/3 Other medical and therapeutic equipment
174.9,Dec-25,Dec-25,K02000001,United Kingdom,CP0724,07.2.4 Other services
123.9,Nov-25,Nov-25,K02000001,United Kingdom,CP123,12.3 Personal effects (nec)
151.8,Nov-25,Nov-25,K02000001,United Kingdom,CP0118,"01.1.8 Sugar, jam, syrups, chocolate and confectionery"
120.9,Nov-25,Nov-25,K02000001,United Kingdom,CP0212,02.1.2 Wine
152.7,Nov-25,Nov-25,K02000001,United Kingdom,CP0454,04.5.4 Solid fuels
154.4,Nov-25,Nov-25,K02000001,United Kingdom,CP0119,01.1.9 Food products (nec)
114.2,Nov-25,Nov-25,K02000001,United Kingdom,CP052,05.2 Household textiles
120.4,Nov-25,Nov-25,K02000001,United Kingdom,CP043,04.3 Regular maintenance and repair of the dwelling
142.3,Nov-25,Nov-25,K02000001,United Kingdom,CP04,"04 Housing, water, electricity, gas and other fuels"
147.4,Nov-25,Nov-25,K02000001,United Kingdom,CP0934_0935,"09.3.4/5 Pets, related products and services"
175,Nov-25,Nov-25,K02000001,United Kingdom,CP0724,07.2.4 Other services
143.3,Nov-25,Nov-25,K02000001,United Kingdom,CP01,01 Food and non-alcoholic beverages
142.6,Nov-25,Nov-25,K02000001,United Kingdom,CP011,01.1 Food
137,Nov-25,Nov-25,K02000001,United Kingdom,CP051,"05.1 Furniture, furnishings and carpets"
118.4,Nov-25,Nov-25,K02000001,United Kingdom,CP1252,12.5.2 House contents insurance
164.4,Nov-25,Nov-25,K02000001,United Kingdom,CP044,04.4 Water supply and miscellaneous services relating to the dwelling
158.3,Nov-25,Nov-25,K02000001,United Kingdom,CP0453,04.5.3 Liquid fuels
137.2,Nov-25,Nov-25,K02000001,United Kingdom,CP0511,05.1.1 Furniture and furnishings
154.2,Nov-25,Nov-25,K02000001,United Kingdom,CP0723,07.2.3 Maintenance and repairs
169.2,Nov-25,Nov-25,K02000001,United Kingdom,CP0732_0736,07.3.2/6 Passenger transport by road and other services
180.5,Nov-25,Nov-25,K02000001,United Kingdom,CP1254,12.5.4 Transport insurance
103.5,Nov-25,Nov-25,K02000001,United Kingdom,CP1232,12.3.2 Other personal effects
191.7,Nov-25,Nov-25,K02000001,United Kingdom,CP0115,01.1.5 Oils and fats
175.7,Nov-25,Nov-25,K02000001,United Kingdom,CP081,08.1 Postal services
124.2,Nov-25,Nov-25,K02000001,United Kingdom,CP071,07.1 Purchase of vehicles
118.2,Nov-25,Nov-25,K02000001,United Kingdom,CP0932,09.3.2 Equipment for sport and open-air recreation
116.6,Nov-25,Nov-25,K02000001,United Kingdom,CP0313,03.1.3 Other clothing and clothing accessories
133.2,Nov-25,Nov-25,K02000001,United Kingdom,CP0213,02.1.3 Beer
125.8,Nov-25,Nov-25,K02000001,United Kingdom,CP05,"05 Furniture, household equipment and maintenance"
153.7,Nov-25,Nov-25,K02000001,United Kingdom,CP0622,06.2.2 Dental services
125.7,Nov-25,Nov-25,K02000001,United Kingdom,CP031,03.1 Clothing
130.7,Nov-25,Nov-25,K02000001,United Kingdom,CP0621_0623,06.2.1/3 Medical services and paramedical services
174.6,Nov-25,Nov-25,K02000001,United Kingdom,CP045,"04.5 Electricity, gas and other fuels"
110.5,Nov-25,Nov-25,K02000001,United Kingdom,CP0432,04.3.2 Services for maintenance and repair of the dwelling
163.7,Nov-25,Nov-25,K02000001,United Kingdom,CP0914,09.1.4 Recording media
110.8,Nov-25,Nov-25,K02000001,United Kingdom,CP0931,"09.3.1 Games, toys and hobbies"
146.7,Nov-25,Nov-25,K02000001,United Kingdom,CP0951,09.5.1 Books
160.2,Nov-25,Nov-25,K02000001,United Kingdom,CP063,06.3 Hospital services
110.3,Nov-25,Nov-25,K02000001,United Kingdom,CP127,12.7 Other services (nec)
152.7,Nov-25,Nov-25,K02000001,United Kingdom,CP10,10 Education
151.2,Nov-25,Nov-25,K02000001,United Kingdom,CP111,11.1 Catering services
123.5,Nov-25,Nov-25,K02000001,United Kingdom,CP0533,05.3.3 Repair of household appliances
140.1,Nov-25,Nov-25,K02000001,United Kingdom,CP0711N1,07.1.1.1 New motor cars
141.1,Nov-25,Nov-25,K02000001,United Kingdom,CP072,07.2 Operation of personal transport equipment
140,Nov-25,Nov-25,K02000001,United Kingdom,CP062,06.2 Out-patient services
117.3,Nov-25,Nov-25,K02000001,United Kingdom,CP1212_1213,12.1.2/3 Appliances and products for personal care
115.9,Nov-25,Nov-25,K02000001,United Kingdom,CP1112,11.1.2 Canteens
109.4,Nov-25,Nov-25,K02000001,United Kingdom,CP054,"05.4 Glassware, tableware and household utensils"
137.3,Nov-25,Nov-25,K02000001,United Kingdom,CP07,07 Transport
